Text,Type
"Electric vehicles are the future. They also require thousands of microchips per single vehicle. 
 
America is making semiconductors again, not just to strengthen our supply chains. But to ensure the clean energy economy is made right here at home.",Not a bot
Got a great question from Andy last night. https://t.co/4tiOUmmhTq,Not a bot
"Because of our investments in American manufacturing, companies across the country are expanding and building new factories to make electric vehicle batteries and chargers.
 
The folks responsible for constructing these new factories? 
 
World-class, high-skilled Union workers.",Not a bot
"I promised to tackle the spike in prices at the pump caused by Putin's war.
 
Since then, we've led the world in oil releases, rallying our global partners to release oil as well.
 
Now, gas prices are at the cheapest levels since June 2021. And I'm not done yet.",Not a bot
"In my first days in office, we set the U.S.’s first-ever national conservation goal through my America the Beautiful initiative.
 
The world is following our lead to safeguard at least 30% of global lands and waters by 2030.
 
This is momentous for nature, people, and our planet. https://t.co/bkic6Z2J62",Not a bot
"President Lasso of Ecuador and I are united. Not only in our values, but in our shared vision of a future that's free and democratic. https://t.co/uq1RB7La4W",Not a bot
"Because of our Administration’s economic investments, the U.S. economy is on the move again. https://t.co/ECh0nPBH9A",Not a bot
"This year’s Hanukkah arrives in the midst of rising and emboldened antisemitism, at home and around the world.
 
I recognize your fear, your hurt. And as your president, I want to make this clear.
 
I will not be silent. America will not be silent.",Not a bot
"The story of Hanukkah is one of miracles. It's a story of a small band of warriors fighting for their values to defeat one of history’s most powerful empires.
 
It's the story of a small jar of oil burning brightly for eight days when it should've lasted one. https://t.co/2WgR4amM7m",Not a bot
"Today, I met with President Lasso of Ecuador to build on our productive talks during the Summit of the Americas last June and continue to deepen our partnership. 
 
I commend the President for setting a regional example on security, migration, and economic progress. https://t.co/xUdSGYWKb3",Not a bot
Join Jill and me as we host a Hanukkah Reception at the White House. https://t.co/p934xzE97k,Not a bot
"Our Administration has officially surpassed our roadmap to take 100 actions this year to strengthen energy efficiency standards.
 
These actions will help save American families at least $100 a year through lower energy bills, this winter and beyond.",Not a bot
"Congratulations to you, Alberto, and to every Argentinian for yesterday’s hard-fought and well-deserved victory. 

You know, I think that Messi guy might have a future. 😉 https://t.co/pxk672SiEY",Not a bot
"We're building semiconductor factories and other advanced manufacturing right here in America that'll create tens of thousands of good-paying jobs in the years ahead.
 
And by the way – most of these jobs will pay $125,000 a year and many won't require a college degree.",Not a bot
"Right now, families with two cars driving home for the holidays are saving $200 a month on gas compared to mid-June’s peak.",Not a bot
"Thanks to our plan to transition to steady, stable economic growth, inflation slowed last month – providing much-needed relief for millions of families at the grocery store.",Not a bot
"Starting in January, folks on Medicare won’t have to choose between paying their insulin and, in many cases, putting food on the table.
 
Real savings are about to kick in.",Not a bot
History will remember this Administration bringing manufacturing back to America. https://t.co/QXKNRN1GHW,Not a bot
Jill and I were delighted to meet with the Fall Class of White House Interns. https://t.co/S6oxAdjKzf,Not a bot
"Aurelie and Rosalie, thanks so much for writing in. Willow and Commander are doing great.

I hope you both have a wonderful Christmas. https://t.co/wGkFI9qMPQ",Not a bot
"Burn pits the size of football fields that incinerate the wastes of war – like chemicals and fuel – got our servicemembers sick.

The PACT Act will get these veterans the benefits they deserve.",Not a bot
The Biden Express is up and running. https://t.co/Xni8LwdnyF,Not a bot
"Passing the PACT Act was a big step to get our veterans the care they need when they come home.

Now, it's time for Congress to pass a bipartisan government funding bill so that we can fully deliver on PACT's promise.",Not a bot
"The U.S.-Africa Leaders Summit only proved the enormous potential that our nations can harness together.
 
The United States is all in on Africa’s future. https://t.co/bZkBal6AYF",Not a bot
"From student debt relief to insulin caps for seniors, our Administration is delivering lower costs for working Americans. https://t.co/QOpJp9RXCa",Not a bot
"Folks, on day one of 2023 our investment to lower prescription drug costs, health insurance costs, and energy costs for millions of families starts to go into effect.",Not a bot
"The PACT Act empowers VA to quickly determine if a veteran qualifies for benefits.

It also means new facilities, research, and more workers at VA hospitals.

And for those who've lost a loved one, it means benefits that'll help get them breathing room.",Not a bot
"Our veterans are the very spine and the sinew of America.

We owe them.

I'll always show up for them. https://t.co/XP9W7KOLa1",Not a bot
"We got the PACT Act done. Now, every veteran or surviving family member deserves to know how to access the benefits of this new law.

I’m urging all veterans to enroll in VA health care to get screened for toxic exposure and to promptly file your claim.

https://t.co/gDiiPR1CfA.",Not a bot
"As a nation, we have one truly sacred obligation: to prepare those we send into harm's way and care for them and their families when they come home.

That's why helping toxic-exposed veterans and servicemembers is important to me. It's why I made the PACT Act law.",Not a bot
"At the start of our Administration, we inherited multiple historic crises and with narrow margins in Congress.

But we worked fast. Now, jobs and wages are up and inflation and gas prices are coming down. We can see our economic plan working.",Not a bot
Tune in as I participate in a town hall with veterans and discuss the historic expansion of benefits in the PACT Act. https://t.co/B4LHiiofMW,Not a bot
"I made a commitment to the American people that when I became president, the United States would return immediately to the world stage and address the climate crisis.
 
I kept that promise by rejoining the Paris Agreement. https://t.co/TaLSET1jsu",Not a bot
"African voices, leadership, and innovation are all critical to addressing the most pressing global challenges and to realizing the vision we all share: 

A world that is free, open, prosperous, and secure. https://t.co/uDQnpZAMn9",Not a bot
It’s been a productive few days spent building U.S.-African partnerships that will strengthen our longstanding engagement for years to come. https://t.co/5SVfDIcyy5,Not a bot
"The United States stands with Japan at this critical moment. 

Our alliance is the cornerstone of a free and open Indo-Pacific and we welcome Japan’s contributions to peace and prosperity.",Not a bot
Africa’s success is the world’s success. https://t.co/qHlenNebjb,Not a bot
Tune in as I deliver remarks during the U.S.-Africa Leaders Summit Closing Session on Promoting Food Security and Food Systems Resilience. https://t.co/BwAdOVPrJi,Not a bot
"COVID cases are going up across the country. But we have the tools, infrastructure, and know-how we need to manage this moment.
 
Today, we announced our Winter COVID-19 Preparedness Plan to ensure we stay ahead of increases in cases this winter. Take a look: https://t.co/qULXMZYD4Z",Not a bot
"Since the first U.S.-Africa Leaders Summit, we've faced challenges: pandemic, war, and economic and food insecurity.

But we can’t solve any of these challenges without African leadership and ideas at the table – one of many reasons why this Summit is so crucial.",Not a bot
Tune in as I deliver remarks before participating in the U.S.-Africa Leaders Summit Leaders Session on partnering on the African Union’s Agenda 2063. https://t.co/8WM6iu38by,Not a bot
"We discussed the importance of holding free, fair, and transparent elections, and of working together to strengthen democracy globally.  The United States plans to provide over $165 million to support elections and good governance in Africa in 2023.",Not a bot
"I met yesterday with Presidents of the DRC, Gabon, Liberia, Madagascar, Nigeria, and Sierra Leone to discuss their countries’ upcoming polls in 2023 and challenges and opportunities facing democracies. https://t.co/AgxjX35xjx",Not a bot
"COVID cases are rising across America as folks gather for the holidays.
 
That's why, starting today, every household can order 4 free COVID tests to be shipped straight to your door.
 
Head to https://t.co/3czr91e7j5 to get yours.",Not a bot
"Wages have gone up more than prices the last few months.
 
And in a few weeks – starting in January – families will get even more breathing room when our plan to lower drug costs, health insurance premiums, and energy bills goes into effect.",Not a bot
"Africa’s prosperity is essential to a better future for all of us.

The U.S.-Africa Business Forum is about connections and our shared future. Today, I announced over $15 billion in two-way trade and investment commitments, deals, and partnerships to advance shared priorities. https://t.co/mKwCT69kPW",Not a bot
"For ten years, Sandy Hook survivors and the families of victims have turned their pain into purpose.

We owe them more than our prayers. We owe them action. https://t.co/Yap2LVb9kl",Not a bot
"It was a great honor to watch today’s World Cup match alongside Prime Minister Akhannouch of Morocco.

No matter who you’re rooting for, it was remarkable to watch how much this team has been able to achieve. https://t.co/5kC4zkT1HQ",Not a bot
"In a world where inflation is rising in double digits in many major economies around the world, it’s coming down in America.

Let’s keep it going. https://t.co/uhsNJggZxn",Not a bot
Tune in as I deliver remarks at the U.S.-Africa Business Forum. https://t.co/PDgqwy7Vqd,Not a bot
"Ten years ago, 26 Newtown families said goodbye to their loved ones for the last time.

20 first-graders and 6 educators died at the hands of a lone gunman.

We still struggle to fathom such loss. But in this darkness, may we find the strength to finish the work left undone.",Not a bot
"The road to this moment has been long. But those who believed in equality never gave up. 

Today is for the Lovings, Edie Windsor and Thea Spyer, the 16 plaintiffs in the Obergefell case, and many others who fought for this.

From me and the entire nation: Thank you.",Not a bot
"As Mildred Loving said: previous generations were “bitterly divided over something that should have been so clear and right.”
 
Today, with the signing of the Respect for Marriage Act, we celebrate our progress.
 
There are few things as clear and right as marriage equality. https://t.co/lz9WtQqSsi",Not a bot
"Marriage is a simple proposition: who do you love? And will you be loyal to the person you love?
 
It’s not more complicated than that.
 
The Respect for Marriage Act recognizes that everyone should have the right to answer those questions for themselves.",Not a bot
"Today is a good day.
 
Today, America takes another step toward equality. Toward liberty and justice not just for some, but for all.
 
Because today, I sign the Respect for Marriage Act into law.",Not a bot
"Join the First Lady, Vice President Harris, the Second Gentleman, and me as we host a ceremony on the South Lawn to sign the Respect for Marriage Act. https://t.co/xqklzlC3Aw",Not a bot
"Americans can see our economic progress while driving down the street, finding relief at the pump as gas prices fall.
 
As they get ready for holiday celebrations and dinners, food inflation is slowing.

These savings are crucial for so many families.",Not a bot
"If there is one message that breaks through from today, it's that this law – and the love it defends – strikes a blow against hate in all its forms.

Celebrate with us as I sign the historic Respect for Marriage Act into law. https://t.co/0NFNNCtVVK",Not a bot
"This morning, we received another reason to be optimistic going into the new year.

We learned that last month inflation came down more than experts expected – the fifth month in a row that annual inflation has fallen in the United States.",Not a bot
Tune in as I deliver remarks on our efforts to tackle inflation. https://t.co/hVFafBhHw3,Not a bot
"Happy Birthday, @USNationalGuard. https://t.co/BSIvRUNtGx",Not a bot
"Today, I sign the Respect for Marriage Act into law – a landmark civil rights bill that honors the courage and sacrifice of generations of couples who fought for marriage equality and equal rights.",Not a bot
"On my first day in office, America rejoined the Paris Agreement on climate change.

And in under 2 years, we’re closer than ever to achieving our goal of reducing U.S. emissions and galvanizing global action to limit warming to 1.5 °C.

I’m confident that we can get it done. https://t.co/A2kdI84FIl",Not a bot
"For 75 years, Toys for Tots has brought joy, laughter, and smiles to families and kids across the country.

It's one of the best events of the year. And today, Jill and I were proud to get these toys ready for the journey to their new owners. https://t.co/3Ez2wn9meq",Not a bot
"Delivering the most aggressive climate action in history is about lowering energy costs for families, creating good-paying jobs, and ensuring America leads the global clean energy economy. https://t.co/DSM0OLoUbx",Not a bot
"I joined G7 Leaders and President Zelenskyy to discuss the progress we’ve made under Germany’s presidency to address pressing challenges of our time – Russia’s brutal war against Ukraine, climate, food and energy security, infrastructure, and more.
 
We're more united than ever. https://t.co/KdG4Iw2Ixl",Not a bot
"Today, we celebrate seven years of the Paris Agreement – and nearly two years since I got us back in.
 
Since then, we signed into law the largest climate investment in history, prioritized environmental justice, and moved closer to our ambitious goals.",Not a bot
Join Jill and me as we participate in a United States Marine Corps Reserve Toys for Tots event. https://t.co/DTFGHfoAsW,Not a bot
"When I think about climate change, I think about jobs.

It's time wind turbine blades, solar panels, and electric vehicle batteries were built by American union workers in American towns instead of overseas.",Not a bot
A future made in America. https://t.co/szLP1Mdvqu,Not a bot
Make that 10.5 million. https://t.co/ZdIOAtCtow,Not a bot
"Independent experts have even projected that the U.S. economy could grow faster than China’s economy this year.
 
That hasn’t happened since 1976.",Not a bot
"Getting an updated COVID vaccine is free, easy, and convenient. They’re our best protection this winter. 

Schedule your updated shot ahead of your holiday plans, and celebrate with friends and family knowing you’re protected. https://t.co/jlrmakxHWm",Not a bot
"Union workers are the most highly trained, highly skilled workers in the entire world. That’s not a joke; that’s a fact.",Not a bot
"Think about working for 50 years, tracking every dollar and securing your retirement. Then, you lose half of that pension through no fault of your own. 
 
That's why we signed the Butch Lewis Act, to protect the union pensions so many sacrificed to secure.",Not a bot
"Small businesses are the backbone of communities across the country.
 
It's why I'm so proud to support them. As your president – leading the way for historic amounts of small business applications – and as a consumer. https://t.co/oatMU1XKco",Not a bot
"When I came to office, just 23 million COVID shots had gone into arms. Now, we’ve gotten over 655 million shots in arms, saving millions of American lives.
 
Get your updated shot. https://t.co/jlrmakyfLU",Not a bot
"Historic job creation.
Early signs that inflation is easing.
Unemployment near a 50-year low.
Gas prices under what they were a year ago.
 
I’m so optimistic about our future.",Not a bot
"On my watch, the wealthiest corporations in America aren't getting another tax cut.
 
With the Inflation Reduction Act, beginning New Year's Day, they'll move closer to paying their fair share.",Not a bot
"For years, we’ve had an economy that didn’t work for working people.
 
Through our investments, we laid the foundation for an economy built from the bottom up and the middle out – getting economic relief for folks who needed it the most.",Not a bot
Our plan to build an economy from the bottom up and middle out is working. https://t.co/hxt1JTpU87,Not a bot
"American manufacturing is back, folks. https://t.co/uyrKhPhLsI",Not a bot
"Trickle-down economics doesn’t usually get down to the bottom, or even the middle – it has never worked.
 
Our Administration is building an economy up from towns like Scranton, not down from Wall Street.",Not a bot
"Right now, the average price of a gallon of gas is $3.32, down 13 cents in a week. And below the price of gas one year ago.
 
Our actions are working to get American families meaningful savings. https://t.co/Mu3YIRj5wp",Not a bot
"America is asserting the resilience of our economy.
 
And the effect is historic global investments in American manufacturing. https://t.co/MfhSCYpFxO",Not a bot
"When Americans see the big picture in their hometowns — cranes going up, shovels in the ground, workers with hard hats — I want you to feel what I feel: pride. https://t.co/MOamIAXuPo",Not a bot
The economy we're building positions America to win the economic competition of the 21st century.,Not a bot
"Congrats to the newest members of the United Auto Workers at the Ultium Cells LLC EV battery plant in Ohio.

I ran for President to rebuild the middle class – and you can't do that without strong unions.

On my watch, our workers will lead the world in manufacturing again. https://t.co/eHpxMtNsYX",Not a bot
"We’ve made important progress passing the most significant gun safety law in three decades.
 
But the work continues to ban assault weapons.
 
We did it before, we can do it again.",Not a bot
Brittney’s coming home. https://t.co/Yg4t08Pqgc,Not a bot
"Equal pay is common sense — and long overdue.

This Latina Equal Pay Day, let’s recognize the wage inequity faced by Latinas across America and recommit to doing everything possible to live up to our values. Equal pay makes all of us stronger.",Not a bot
"It's my job to protect the pensions you all worked so damn hard for.
 
Thanks to today's approval of funds from the Butch Lewis Act I signed into law, union workers across America can go to bed at night knowing their pensions will be there when they need it. https://t.co/XMdcNnbwer",Not a bot
"In the wake of Dobbs, Congress has restored a measure of security to marriages and families by passing the Respect for Marriage Act.

We're one step closer on our journey to build a more perfect union. We'll never stop fighting for equality for LGBTQI+ folks and all Americans.",Not a bot
"I campaigned to restore the backbone of this country: the middle class and unions.
 
Over the last two years that’s what we’ve been doing.
 
Americans are working.
The economy is growing.
Incomes are rising faster than inflation.",Not a bot
"The Butch Lewis Act I signed into law shored up pensions for millions of union workers facing cuts to the benefits they earned.
 
Today, our Administration is announcing the single largest approval of funds from the Act: $36 billion, covering over 350,000 workers and retirees.",Not a bot
Tune in as I deliver remarks on ensuring union workers get the retirements they earned and paid into for years. https://t.co/4oMsF6vvRQ,Not a bot
Some great news today: the national average gas price is lower than its level one year ago.,Not a bot
"Last night, I gathered with victims and families of a violence that rips at the soul of our nation: gun violence.
 
Light still shines in darkness.
 
May we have the strength to finish the work left undone on behalf of the lives we’ve lost and all the lives we can save. https://t.co/kmJR67ktM0",Not a bot
"My Administration has been hard at work building new supply chains that run from Phoenix to Detroit and everywhere in between.

Now, ports are flowing and stores are so stocked we’re seeing some prices drop.",Not a bot
It isn’t every day that you meet your heroes. https://t.co/RXl5kyWbAW,Not a bot
Tune in as I deliver an important announcement.  https://t.co/2BVdSsmIFA,Not a bot
"Moments ago I spoke to Brittney Griner.
 
She is safe.
She is on a plane.
She is on her way home. https://t.co/FmHgfzrcDT",Not a bot
I'm joining survivors and families impacted by gun violence to deliver remarks at the 10th Annual National Vigil for All Victims of Gun Violence. https://t.co/hBLwgwFOpo,Not a bot
"This is great news for Connecticut families who've been impacted by our nation's failed approach to marijuana.

No one should be imprisoned solely due to the possession of marijuana. https://t.co/grdlDm0cHR",Not a bot
"When I came to office, less than 5 million Americans were fully vaccinated. Since then, we’ve gotten almost 230 million Americans fully vaccinated, saving millions of lives.

Get your updated shot. https://t.co/jlrmakxHWm",Not a bot
"I know many of you are like the folks I grew up with in Scranton. You've felt left out for a long time.

Hear me: as we rebuild American manufacturing, we're not leaving anyone behind.

We’re going to make sure American workers are prepared to compete with anyone in the world.",Not a bot
"It was an honor spending time with our WWII veterans at the White House today.
 
These men and women were among those who answered the free world’s call at its greatest hour of need – we're indebted to them. Today and always. https://t.co/Esk7VkYjyz",Not a bot
"Seventeen Black women have been confirmed to federal circuit courts in U.S. history. And with the Senate’s confirmation of Judge Doris Pryor, I’m proud to have nominated 9 of them – with more on the way.

Courts matter. Now, they reflect more of the greatness of our nation. https://t.co/LTcodGyUBJ",Not a bot
"I just signed the Speak Out Act, a bill that'll enable survivors to speak out about workplace sexual assault and harassment and increase access to justice.
 
@RepLoisFrankel, @RepCheri, @SenGillibrand, @MazieHirono, and determined advocates: thank you for your tireless work. https://t.co/ZQwGNWZpO9",Not a bot
"Smart federal investment attracts private sector investment. It creates jobs and even new industries, and demonstrates we’re all in this together.
 
That’s what yesterday’s sit-down with industry leaders was about. https://t.co/1H4MjW5F6T",Not a bot
"Congrats, Senator. Now let’s get you sworn in again. https://t.co/8wSJ59mX78",Not a bot
"Americans are starting to see the impact of our historic investments in their own lives.
 
It's part of a broader story about the economy we’re building that works for everyone – an economy that positions America to win the economic competition for the 21st Century. https://t.co/HHUIN8tHDC",Not a bot
"On National Pearl Harbor Remembrance Day, we honor those whose lives were cut short that tragic morning. And we reflect on the resilience of our Armed Forces who withstood the attack and built the most capable fighting force in the world.
 
We do not break and we never back down. https://t.co/J8C8U2yoUS",Not a bot
"Just called @SenatorWarnock to congratulate him on his win.

Tonight Georgia voters stood up for our democracy, rejected Ultra MAGAism, and most importantly: sent a good man back to the Senate. Here’s to six more years. https://t.co/ibx5aprVs3",Not a bot
"Micron is investing $100 billion to build microchips in Syracuse.
Intel is investing $20 billion to do the same in Columbus.
IBM is investing $20 billion in Poughkeepsie.
 
And TSMC is investing $40 billion right here in Phoenix. https://t.co/X5U8z3LUhP",Not a bot
"The economy grew at a 2.9% rate last quarter while inflation started to slow and unemployment stayed low.
 
What do these economic statistics really mean for people?
 
Millions of jobs.
Hundreds of thousands of manufacturing jobs.
Some welcome breathing room for families.",Not a bot
"We are proving that when we invest in America – especially in the high-growth, high-potential industries of the future – we can grow our economy from the bottom up and the middle out.",Not a bot
"Tune in as I discuss how my economic plan is leading to a manufacturing boom, rebuilding supply chains, and creating good-paying jobs in Arizona and across the country. https://t.co/WO1HCLx86e",Not a bot
It's the most wonderful time of the year. https://t.co/xwtQUkDC1D,Not a bot
"Even if you’ve gotten vaccinated or boosted, even if you’ve had COVID before – get the updated vaccine to protect you and your family ahead of the holidays. https://t.co/MMDMjQSZOo",Not a bot
"Because we're investing in ourselves again, the United States is a top destination for companies across the globe for new manufacturing.

They see what I see: our world-class, high-skilled, highly-committed labor force.",Not a bot
"We invented the microchip here, but American manufacturing – the backbone of our economy – got hollowed out and companies began to move jobs overseas.

Well, now we’re sending American-made products overseas made by the best workers in the world.",Not a bot
"Starting New Year's Day, seniors covered by Medicare will begin paying $35 per prescription per month for their insulin.",Not a bot
"Our economy is growing at a strong pace, gas prices are down since the summer, and unemployment is near record lows.
 
The American people should have confidence that our plan to tackle inflation, without giving up the historic economic gains we've achieved, is working.",Not a bot
"The economy added 263,000 jobs and wages rose in November. And the unemployment rate is near a record low.
 
We’re delivering historic results for the American people.",Not a bot
"Our economy is growing at a strong pace, gas prices are down since the summer, and unemployment is near record lows.

The American people should have confidence that our plan to tackle inflation, without giving up the historic economic gains we've achieved, is working.",Not a bot
"The Inflation Reduction Act lowers costs for families, combats the climate crisis, and reduces the deficit.

All while making the largest corporations pay their fair share. https://t.co/IYk5UUqlkS",Not a bot
"Because of our policies, folks are starting to feel the impact of our legislative achievements in their own lives.
 
It will only accelerate in the months ahead as we implement our investments in American families.",Not a bot
"As of today, the national average price of gas is $3.40 a gallon – the lowest since early February and lower than when Putin invaded Ukraine.",Not a bot
"Congratulations to the 2022 Kennedy Center Honorees and their wonderful families.
 
Thank you for showing us the power of the arts. You embody the very spirit of America. https://t.co/HzXvTmBZnh",Not a bot
"This week, we celebrated the enduring friendship of France and the United States by raising our glasses to President Macron, Mrs. Macron, and the people of France.
 
To the history that binds us, to the values that still unite us, and to the future we will forge together. https://t.co/ZdG9gqxof1",Not a bot
"Merry Christmas, everybody! One of the best parts of the holiday season is getting to spend time with the special people in our lives. I hope you all have a wonderful and joyful Christmas. https://t.co/RiEJRg0HkI",Not a bot
"I always enjoy sharing my end of year music playlist with all of you — and this year we heard a lot of great songs. Here are some of my favorites. 

Are there any songs or artists I should check out? https://t.co/qkwm4UOzMD",Not a bot
I saw some great movies this year – here are some of my favorites. What did I miss? https://t.co/vsgEmc8cn8,Not a bot
"I always look forward to sharing my lists of favorite books, movies, and music with all of you.
 
First up, here are some of the books I read and enjoyed this year. Let me know which books I should check out in 2023. https://t.co/NuGA7dDz9G",Not a bot
"I grew up watching Franco Harris, and had the honor of getting to know him years later. He was an extraordinary man on and off the field, and will be missed. Our thoughts go out to his family and all of Steeler Nation.",Not a bot
"Congrats to Argentina and to the GOAT, Lionel Messi, for an amazing World Cup victory. https://t.co/TkPRhReOV9",Not a bot
"Michelle and I send our warmest wishes to everyone celebrating Hanukkah. At a time when antisemitism is on the rise around the world, let’s remember that the light of hope will always shine brighter than hate. From my family to yours, Chag Sameach!",Not a bot
"But in the 10 years since, the families of Sandy Hook have taken unimaginable sorrow and channeled it into a righteous cause—setting an example of strength and resolve. Take a moment to learn more about them and how you can help at https://t.co/pQ4FRPyRSH.",Not a bot
"I consider December 14th, 2012 the single darkest day of my presidency. The news from Sandy Hook Elementary was devastating, a visceral blow, and like so many others, I felt not just sorrow but anger at a world that could allow such things to happen. https://t.co/Y2log7FBaH",Not a bot
"It’s a landmark moment in the fight for equality, and a tribute to the generations of Americans whose example and advocacy have done more than any law to change hearts and minds.

This is their victory, and a powerful reminder that, together, we can continue to perfect our union.",Not a bot
"By mandating the federal recognition of same-sex marriages, the Respect for Marriage Act brings us closer to preserving the fundamental right of every American to marry who they love.",Not a bot
"In 2015, when the Supreme Court recognized the Constitutional right to marriage equality, I said that progress often comes in small increments. Then there are days when slow, steady effort is rewarded with justice that arrives like a thunderbolt.

Today is one of those days.",Not a bot
